ddd:010272365:mpeg21:p006:alto_1.jpg;illustratie met onderschrift;De Tĳd : godsdienstig-staatkundig dagblad;1882-10-30;http://resolver.kb.nl/resolve?urn=ddd:010272365:mpeg21:a0079;maps;drawing
ddd:010141706:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-04;http://resolver.kb.nl/resolve?urn=ddd:010141706:mpeg21:a0052;logo;drawing
ddd:010141706:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-04;http://resolver.kb.nl/resolve?urn=ddd:010141706:mpeg21:a0052;logo;drawing
ddd:010141708:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-06;http://resolver.kb.nl/resolve?urn=ddd:010141708:mpeg21:a0042;logo;drawing
ddd:010141709:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-07;http://resolver.kb.nl/resolve?urn=ddd:010141709:mpeg21:a0065;logo;drawing
ddd:010141709:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-07;http://resolver.kb.nl/resolve?urn=ddd:010141709:mpeg21:a0065;logo;drawing
ddd:010141711:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-09;http://resolver.kb.nl/resolve?urn=ddd:010141711:mpeg21:a0052;logo;drawing
ddd:010141711:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-09;http://resolver.kb.nl/resolve?urn=ddd:010141711:mpeg21:a0052;logo;drawing
ddd:010141712:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-10;http://resolver.kb.nl/resolve?urn=ddd:010141712:mpeg21:a0043;logo;drawing
ddd:010141712:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-10;http://resolver.kb.nl/resolve?urn=ddd:010141712:mpeg21:a0043;logo;drawing
ddd:010141710:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-08;http://resolver.kb.nl/resolve?urn=ddd:010141710:mpeg21:a0001;logo;drawing
ddd:010141710:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-08;http://resolver.kb.nl/resolve?urn=ddd:010141710:mpeg21:a0001;logo;drawing
ddd:010141717:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-15;http://resolver.kb.nl/resolve?urn=ddd:010141717:mpeg21:a0001;logo;drawing
ddd:010141717:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-15;http://resolver.kb.nl/resolve?urn=ddd:010141717:mpeg21:a0001;logo;drawing
ddd:010141715:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-13;http://resolver.kb.nl/resolve?urn=ddd:010141715:mpeg21:a0042;logo;drawing
ddd:010141713:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-11;http://resolver.kb.nl/resolve?urn=ddd:010141713:mpeg21:a0039;logo;drawing
ddd:010141713:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-11;http://resolver.kb.nl/resolve?urn=ddd:010141713:mpeg21:a0039;logo;drawing
ddd:010141714:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-12;http://resolver.kb.nl/resolve?urn=ddd:010141714:mpeg21:a0047;logo;drawing
ddd:010141714:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-12;http://resolver.kb.nl/resolve?urn=ddd:010141714:mpeg21:a0047;logo;drawing
ddd:010141719:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-17;http://resolver.kb.nl/resolve?urn=ddd:010141719:mpeg21:a0038;logo;drawing
ddd:010141725:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-24;http://resolver.kb.nl/resolve?urn=ddd:010141725:mpeg21:a0042;logo;drawing
ddd:010141722:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-21;http://resolver.kb.nl/resolve?urn=ddd:010141722:mpeg21:a0044;logo;drawing
ddd:010141721:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1882-05-20;http://resolver.kb.nl/resolve?urn=ddd:010141721:mpeg21:a0043;logo;drawing
