ddd:011086905:mpeg21:p007:alto_1.jpg;illustratie met onderschrift;Soerabaijasch handelsblad;1884-11-14;http://resolver.kb.nl/resolve?urn=ddd:011086905:mpeg21:a0064;schematics;drawing
MMKB08:000140864:mpeg21:p017:alto_1.jpg;illustratie met onderschrift;Nederlandsche staatscourant;1884-06-06;http://resolver.kb.nl/resolve?urn=MMKB08:000140864:mpeg21:a0028;maps;drawing
ddd:010145600:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-03;http://resolver.kb.nl/resolve?urn=ddd:010145600:mpeg21:a0001;logo;drawing
ddd:010145600:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-03;http://resolver.kb.nl/resolve?urn=ddd:010145600:mpeg21:a0001;logo;drawing
ddd:010145608:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-07;http://resolver.kb.nl/resolve?urn=ddd:010145608:mpeg21:a0001;logo;drawing
ddd:010145610:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-08;http://resolver.kb.nl/resolve?urn=ddd:010145610:mpeg21:a0001;logo;drawing
ddd:010145610:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-08;http://resolver.kb.nl/resolve?urn=ddd:010145610:mpeg21:a0001;logo;drawing
ddd:010145612:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-10;http://resolver.kb.nl/resolve?urn=ddd:010145612:mpeg21:a0001;logo;drawing
ddd:010145612:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-10;http://resolver.kb.nl/resolve?urn=ddd:010145612:mpeg21:a0001;logo;drawing
ddd:010145606:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-06;http://resolver.kb.nl/resolve?urn=ddd:010145606:mpeg21:a0001;logo;drawing
ddd:010145618:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-13;http://resolver.kb.nl/resolve?urn=ddd:010145618:mpeg21:a0001;logo;drawing
ddd:010145620:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-14;http://resolver.kb.nl/resolve?urn=ddd:010145620:mpeg21:a0001;logo;drawing
ddd:010145622:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-15;http://resolver.kb.nl/resolve?urn=ddd:010145622:mpeg21:a0001;logo;drawing
ddd:010145622:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-15;http://resolver.kb.nl/resolve?urn=ddd:010145622:mpeg21:a0001;logo;drawing
ddd:010145624:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-17;http://resolver.kb.nl/resolve?urn=ddd:010145624:mpeg21:a0001;logo;drawing
ddd:010145624:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-17;http://resolver.kb.nl/resolve?urn=ddd:010145624:mpeg21:a0001;logo;drawing
ddd:010145632:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-21;http://resolver.kb.nl/resolve?urn=ddd:010145632:mpeg21:a0001;logo;drawing
ddd:010145632:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-21;http://resolver.kb.nl/resolve?urn=ddd:010145632:mpeg21:a0001;logo;drawing
ddd:010145634:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-22;http://resolver.kb.nl/resolve?urn=ddd:010145634:mpeg21:a0001;logo;drawing
ddd:010145634:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-22;http://resolver.kb.nl/resolve?urn=ddd:010145634:mpeg21:a0001;logo;drawing
ddd:010145628:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-19;http://resolver.kb.nl/resolve?urn=ddd:010145628:mpeg21:a0001;logo;drawing
ddd:010145628:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-19;http://resolver.kb.nl/resolve?urn=ddd:010145628:mpeg21:a0001;logo;drawing
ddd:010145630:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-20;http://resolver.kb.nl/resolve?urn=ddd:010145630:mpeg21:a0001;logo;drawing
ddd:010145636:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-24;http://resolver.kb.nl/resolve?urn=ddd:010145636:mpeg21:a0001;logo;drawing
ddd:010145638:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-25;http://resolver.kb.nl/resolve?urn=ddd:010145638:mpeg21:a0001;logo;drawing
ddd:010145638:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-25;http://resolver.kb.nl/resolve?urn=ddd:010145638:mpeg21:a0001;logo;drawing
ddd:010145642:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-27;http://resolver.kb.nl/resolve?urn=ddd:010145642:mpeg21:a0001;logo;drawing
ddd:010145645:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-29;http://resolver.kb.nl/resolve?urn=ddd:010145645:mpeg21:a0049;logo;drawing
ddd:010145648:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-01;http://resolver.kb.nl/resolve?urn=ddd:010145648:mpeg21:a0007;logo;drawing
ddd:010145648:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-01;http://resolver.kb.nl/resolve?urn=ddd:010145648:mpeg21:a0007;logo;drawing
ddd:010145650:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-02;http://resolver.kb.nl/resolve?urn=ddd:010145650:mpeg21:a0001;logo;drawing
ddd:010145650:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-02;http://resolver.kb.nl/resolve?urn=ddd:010145650:mpeg21:a0001;logo;drawing
ddd:010145652:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-03;http://resolver.kb.nl/resolve?urn=ddd:010145652:mpeg21:a0001;logo;drawing
ddd:010145652:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-03;http://resolver.kb.nl/resolve?urn=ddd:010145652:mpeg21:a0001;logo;drawing
ddd:010145646:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-11-29;http://resolver.kb.nl/resolve?urn=ddd:010145646:mpeg21:a0007;logo;drawing
ddd:010145656:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-05;http://resolver.kb.nl/resolve?urn=ddd:010145656:mpeg21:a0008;logo;drawing
ddd:010145658:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-06;http://resolver.kb.nl/resolve?urn=ddd:010145658:mpeg21:a0001;logo;drawing
ddd:010145658:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-06;http://resolver.kb.nl/resolve?urn=ddd:010145658:mpeg21:a0001;logo;drawing
ddd:010145654:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-04;http://resolver.kb.nl/resolve?urn=ddd:010145654:mpeg21:a0001;logo;drawing
ddd:010145661:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-08;http://resolver.kb.nl/resolve?urn=ddd:010145661:mpeg21:a0001;logo;drawing
ddd:010145665:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-10;http://resolver.kb.nl/resolve?urn=ddd:010145665:mpeg21:a0001;logo;drawing
ddd:010145667:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-11;http://resolver.kb.nl/resolve?urn=ddd:010145667:mpeg21:a0001;logo;drawing
ddd:010145673:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-15;http://resolver.kb.nl/resolve?urn=ddd:010145673:mpeg21:a0001;logo;drawing
ddd:010145673:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-15;http://resolver.kb.nl/resolve?urn=ddd:010145673:mpeg21:a0001;logo;drawing
ddd:010145669:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-12;http://resolver.kb.nl/resolve?urn=ddd:010145669:mpeg21:a0001;logo;drawing
ddd:010145669:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-12;http://resolver.kb.nl/resolve?urn=ddd:010145669:mpeg21:a0001;logo;drawing
ddd:010145675:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-16;http://resolver.kb.nl/resolve?urn=ddd:010145675:mpeg21:a0001;logo;drawing
ddd:010145679:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-18;http://resolver.kb.nl/resolve?urn=ddd:010145679:mpeg21:a0001;logo;drawing
ddd:010145677:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-17;http://resolver.kb.nl/resolve?urn=ddd:010145677:mpeg21:a0001;logo;drawing
ddd:010145683:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-20;http://resolver.kb.nl/resolve?urn=ddd:010145683:mpeg21:a0001;logo;drawing
ddd:010145684:mpeg21:p009:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-21;http://resolver.kb.nl/resolve?urn=ddd:010145684:mpeg21:a0070;logo;drawing
ddd:010145685:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-22;http://resolver.kb.nl/resolve?urn=ddd:010145685:mpeg21:a0001;logo;drawing
ddd:010145685:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-22;http://resolver.kb.nl/resolve?urn=ddd:010145685:mpeg21:a0001;logo;drawing
ddd:010145687:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-23;http://resolver.kb.nl/resolve?urn=ddd:010145687:mpeg21:a0001;logo;drawing
ddd:010145688:mpeg21:p007:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-24;http://resolver.kb.nl/resolve?urn=ddd:010145688:mpeg21:a0071;logo;drawing
ddd:010145690:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-26;http://resolver.kb.nl/resolve?urn=ddd:010145690:mpeg21:a0001;logo;drawing
ddd:010145690:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1884-12-26;http://resolver.kb.nl/resolve?urn=ddd:010145690:mpeg21:a0001;logo;drawing
